TableInfos;;;;;;;;;;;;;;;;;;;;
ID;Title;ShortTitle;Identifier;Summary;Modified;ReasonDelivery;ExplanatoryText;Language;Catalog;Frequency;Period;ShortDescription;Description;DefaultPresentation;DefaultSelection;GraphTypes;OutputStatus;Source;MetaDataModified;SearchPriority
19;14;15;Topic;InkomenOnderLageInkomensgrens_14;Inkomen onder lage-inkomensgrens;"Aantal minderjarige kinderen in particuliere huishoudens met inkomen tot de lage inkomensgrens in jaar 2013 voor de gemeentelijke indeling van 1-1-2016.

De lage-inkomensgrens is vastgesteld op 9.249 euro in prijzen van het jaar 2000. Dit bedrag komt in koopkracht ongeveer overeen met de koopkracht van een bijstandsuitkering voor een alleenstaande in 1979, toen deze op zijn hoogst was. Het inkomensbegrip dat in deze publicatie wordt gehanteerd, is het besteedbaar inkomen verminderd met eventueel ontvangen huursubsidie. Om te bepalen hoe het inkomen van een huishouden zich verhoudt tot de lage-inkomensgrens, wordt het inkomen van een huishouden gecorrigeerd voor verschillen in huishoudenssamenstelling en voor de prijsontwikkeling. De correctie voor verschillen in samenstelling vindt plaats met behulp van equivalentiefactoren. In de equivalentiefactor komen de schaalvoordelen tot uitdrukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Met behulp van de equivalentiefactoren worden alle inkomens herleid tot het inkomen van een eenpersoonshuishouden. Op deze wijze zijn de inkomensniveaus van huishoudens onderling vergelijkbaar gemaakt. Vervolgens wordt dit gestandaardiseerde inkomen met behulp van consumenten-prijsindices herleid naar het prijspeil in 2000. Het resulterende inkomen is laag wanneer het minder is dan 9.249 euro.

De cijfers over kinderen in huishoudens onder de lage-inkomensgrens in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over kinderen in huishoudens onder de lage-inkomensgrens. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 31 december 2013 gaan. ";;Long;aantal;0;Impossible;;;;;;;;;
20;15;15;Topic;InkomenOnderLageInkomensgrens_15;Inkomen onder lage-inkomensgrens %;"Minderjarige kinderen in particuliere huishoudens met inkomen tot de lage inkomensgrens als percentage van het totaal aantal minderjarige kinderen op 31 december 2013 voor de gemeentelijke indeling van 1-1-2016.

De lage-inkomensgrens is vastgesteld op 9.249 euro in prijzen van het jaar 2000. Dit bedrag komt in koopkracht ongeveer overeen met de koopkracht van een bijstandsuitkering voor een alleenstaande in 1979, toen deze op zijn hoogst was. Het inkomensbegrip dat in deze publicatie wordt gehanteerd, is het  besteedbaar inkomen verminderd met eventueel ontvangen huursubsidie. Om te bepalen hoe het inkomen van een huishouden zich verhoudt tot de lage-inkomensgrens, wordt het inkomen van een huishouden gecorrigeerd voor verschillen in huishoudenssamenstelling en voor de prijsontwikkeling. De correctie voor verschillen in samenstelling vindt plaats met behulp van equivalentiefactoren. In de equivalentiefactor komen de schaalvoordelen tot uitdrukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Met behulp van de equivalentiefactoren worden alle inkomens herleid tot het inkomen van een eenpersoonshuishouden. Op deze wijze zijn de inkomensniveaus van huishoudens onderling vergelijkbaar gemaakt. Vervolgens wordt dit gestandaardiseerde inkomen met behulp van consumenten-prijsindices herleid naar het prijspeil in 2000. Het resulterende inkomen is laag wanneer het minder is dan 9.249 euro.

De cijfers over kinderen in huishoudens onder de lage-inkomensgrens in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over kinderen in huishoudens onder de lage-inkomensgrens. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 31 december 2013 gaan. ";;Float;%;1;Impossible;;;;;;;;;
21;;13;TopicGroup;;Particuliere huishoudens;Een particulier huishouden is een verzameling van één of meer personen die een woonruimte bewoont en zichzelf daar particulier, dat wil zeggen niet bedrijfsmatig voorziet in huisvesting en dergelijke levensbehoeften.;;;;;;;;;;;;;;
22;16;21;Topic;HuishoudensMetEnZonderKinderen_16;Huishoudens met en zonder kinderen;"Het totaal aantal particuliere huishoudens op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over het aantal particuliere huishoudens in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal particuliere huishoudens.
Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
23;;21;TopicGroup;;Meerpersoonshuishoudens met kinderen;"Het aantal meerpersoonshuishouden met thuiswonende kinderen op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.
Thuiswonend kind:
Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met één of twee tot het huishouden behorende ouders.	
Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen maar geen pleegkinderen.

De cijfers over het aantal meerpersoonshuishoudens in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal meerpersoonshuishoudens.
Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 31 december 2014 gaan.
";;;;;;;;;;;;;;
24;17;23;Topic;Totaal_17;Totaal;;;Long;aantal;0;Impossible;;;;;;;;;
25;18;23;Topic;MetJongsteKindTot6Jaar_18;Met jongste kind tot 6 jaar;;;Long;aantal;0;Impossible;;;;;;;;;
26;19;23;Topic;MetJongsteKind6Tot12Jaar_19;Met jongste kind 6 tot 12 jaar;;;Long;aantal;0;Impossible;;;;;;;;;
27;20;23;Topic;MetJongsteKind12Tot18Jaar_20;Met jongste kind 12 tot 18 jaar;;;Long;aantal;0;Impossible;;;;;;;;;
28;;21;TopicGroup;;Eenouderhuishoudens;"Het aantal particulier huishouden bestaande uit één ouder met thuiswonende kinderen op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.
Thuiswonend kind:
Persoon ongeacht leeftijd of burgerlijke staat die een kind-ouder relatie heeft met de ouder die tot het huishouden behoort.
Onder thuiswonende kinderen worden ook begrepen adoptie- en stiefkinderen maar geen pleegkinderen.

De cijfers over het aantal eenouderhuishoudens in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal eenouderhuishoudens.
Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 31 december 2014 gaan.";;;;;;;;;;;;;;
29;21;28;Topic;Totaal_21;Totaal;;;Long;aantal;0;Impossible;;;;;;;;;
30;22;28;Topic;Met2OfMeerKinderen_22;Met 2 of meer kinderen;;;Long;aantal;0;Impossible;;;;;;;;;
31;;13;TopicGroup;;Bijstand;Uitkeringen aan huishoudens op grond van de Wet werk en bijstand (WWB, tot 2015) en de Participatiewet (vanaf 2015) en het Besluit bijstandsverlening zelfstandigen 2004 (Bbz).;;;;;;;;;;;;;;
32;;31;TopicGroup;;Eenouderhuishoudens met bijstand;"Eenouderhuishoudens die bijstand ontvangen.
Onder bijstand wordt hier verstaan uitkeringen aan huishoudens op grond van de Wet werk en bijstand (WWB, tot 2015) en de Participatiewet (vanaf 2015) en het Besluit bijstandsverlening zelfstandigen 2004 (Bbz).";;;;;;;;;;;;;;
33;23;32;Topic;Driejaarsgemiddelde_23;Driejaarsgemiddelde;"Het gemiddeld aantal eenouderhuishoudens met bijstand voor de jaren 2012 tot en met 2014 voor de gemeentelijke indeling van 1-1-2016.
Het gemiddelde is berekend door de aantallen voor de drie peilmomenten op te tellen en te delen door drie.";;Long;aantal;0;Impossible;;;;;;;;;
34;24;32;Topic;k_2014_24;2014;Het aantal eenouderhuishoudens met bijstand op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.;;Long;aantal;0;Impossible;;;;;;;;;
35;25;32;Topic;k_2013_25;2013;Het aantal eenouderhuishoudens met bijstand op 31 december 2013 voor de gemeentelijke indeling van 1-1-2016.;;Long;aantal;0;Impossible;;;;;;;;;
36;26;32;Topic;k_2012_26;2012;Het aantal eenouderhuishoudens met bijstand op 31 december 2012 voor de gemeentelijke indeling van 1-1-2016.;;Long;aantal;0;Impossible;;;;;;;;;
37;;31;TopicGroup;;Bijstandshuishoudens met kinderen;"Bijstandshuishoudens met één of meer minderjarige kinderen.
Onder bijstand wordt hier verstaan uitkeringen aan huishoudens op grond van de Wet werk en bijstand (WWB, tot 2015) en de Participatiewet (vanaf 2015) en het Besluit bijstandsverlening zelfstandigen 2004 (Bbz).";;;;;;;;;;;;;;
38;27;37;Topic;Driejaarsgemiddelde_27;Driejaarsgemiddelde;"Het gemiddeld aantal bijstandshuishoudens met één of meer kinderen tot 18 jaar voor de jaren 2012 tot en met 2014 voor de gemeentelijke indeling van 1-1-2016.
Het gemiddelde is berekend door de aantallen voor de drie peilmomenten op te tellen en te delen door drie.";;Long;aantal;0;Impossible;;;;;;;;;
39;28;37;Topic;k_2014_28;2014;Het aantal bijstandshuishoudens met één of meer kinderen tot 18 jaar op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.;;Long;aantal;0;Impossible;;;;;;;;;
40;29;37;Topic;k_2013_29;2013;Het aantal bijstandshuishoudens met één of meer kinderen tot 18 jaar op 31 december 2013 voor de gemeentelijke indeling van 1-1-2016.;;Long;aantal;0;Impossible;;;;;;;;;
41;30;37;Topic;k_2012_30;2012;Het aantal bijstandshuishoudens met één of meer kinderen tot 18 jaar op 31 december 2012 voor de gemeentelijke indeling van 1-1-2016.;;Long;aantal;0;Impossible;;;;;;;;;
42;31;13;Topic;OudersMetLangPsychischMedicijngebr_31;Ouders met lang psychisch medicijngebr.;"Aantal ouders van kinderen in de leeftijd tot 18 jaar met langdurig psychisch medicijngebruik in het jaar 2012 voor de gemeentelijke indeling van 1-1-2016.
Deze indicator beschrijft hoeveel ouders van kinderen in de leeftijd tot 18 jaar in het jaar 2012 gebruik heeft gemaakt van medicijnen voor chronische psychische aandoeningen.

Langdurig psychisch medicijngebruik:
Om te kijken welke personen gebruik hebben gemaakt van medicijnen voor chronische psychische aandoeningen, is gebruik gemaakt van een bestand van het instituut Beleid & Management Gezondheidszorg (iBMG). Dit bestand bevat informatie over alle verzekerden met een basis verzekering (zorg) in 2013. Op basis van hun declaratiegedrag zijn chronisch zieken ingedeeld in zogenaamde Farmaceutische Kosten Groepen (FKG). Deze psychische FKG’s zijn gebaseerd op het medicijngebruik in 2012.
Een Farmaceutische Kosten Groep (FKG) is een groep medicijnen die past bij een bepaalde chronische aandoening. Iemand valt binnen een FKG als hij of zij minimaal 180 dagen per jaar medicijnen gebruikt voor een bepaalde aandoening. De volgende FKG’s worden in dit onderzoek gerekend tot chronische psychische aandoeningen: psychose, psychose depot, chronische stemmingsstoornissen, verslaving, bipolair regulier, bipolair complex, adhd, ‘psychose, alzheimer, verslaving’ en depressie.
";;Long;aantal;0;Impossible;;;;;;;;;
43;;13;TopicGroup;;Huishoudens met inkomen;De uitkomsten hebben betrekking op alle huishoudens in Nederland met inkomen (incl. personen die in tehuizen of inrichtingen verblijven).;;;;;;;;;;;;;;
44;;43;TopicGroup;;Totaal huishoudens met inkomen;Totaal aantal huishoudens met inkomen (incl. personen die in tehuizen of inrichtingen verblijven) op 31 december 2013 voor de gemeentelijke indeling van 1-1-2016.;;;;;;;;;;;;;;
45;32;44;Topic;Huishoudens_32;Huishoudens;"Aantal huishoudens op 31 december 2013 met inkomen in jaar 2013 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
46;33;44;Topic;GemiddeldGestandaardiseerdInkomen_33;Gemiddeld gestandaardiseerd inkomen;"Gemiddeld gestandaardiseerd inkomen per huishouden in 2013 voor de gemeentelijke indeling van 1-1-2016.

Het gestandaardiseerd inkomen is het besteedbaar inkomen gecorrigeerd voor verschillen in grootte en samenstelling van het huishouden. Om inkomens van huishoudens van verschillende grootte en samenstelling vergelijkbaar te maken, wordt het inkomen gestandaardiseerd. Bij het standaardiseren wordt het besteedbaar huishoudensinkomen gecorrigeerd voor grootte en samenstelling van een huishouden. Hiervoor zijn equivalentiefactoren beschikbaar die afgestemd zijn op het aantal volwassenen en kinderen (naar leeftijd) in een huishouden. In de equivalentiefactor komen de schaalvoordelen tot uit drukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Hierbij is de CBS-equivalentieschaal gebruikt, waarbij het eenpersoonshuishouden als standaardhuishouden is gekozen. Het gaat hier om het rekenkundig gemiddeld gestandaardiseerd inkomen per huishouden. 

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;euro;0;Impossible;;;;;;;;;
47;;43;TopicGroup;;Paar, alleen kinderen < 18;"(Echt)paar met uitsluitend minderjarige kinderen zonder anderen.
De indeling van het huishouden hangt af van de relaties van de huishoudensleden ten opzichte van de hoofdkostwinner. Het al dan niet gehuwd samenwonen van de hoofdkostwinner en de aanwezigheid van inwonende kinderen spelen hier een rol. Paren zijn zowel echtparen als personen die samenwonen met een vaste partner.			
";;;;;;;;;;;;;;
48;34;47;Topic;Huishoudens_34;Huishoudens;"Aantal huishoudens op 31 december 2013 met inkomen in jaar 2013 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
49;35;47;Topic;GemiddeldGestandaardiseerdInkomen_35;Gemiddeld gestandaardiseerd inkomen;"Gemiddeld gestandaardiseerd inkomen per huishouden in 2013 voor de gemeentelijke indeling van 1-1-2016.

Het gestandaardiseerd inkomen is het besteedbaar inkomen gecorrigeerd voor verschillen in grootte en samenstelling van het huishouden. Om inkomens van huishoudens van verschillende grootte en samenstelling vergelijkbaar te maken, wordt het inkomen gestandaardiseerd. Bij het standaardiseren wordt het besteedbaar huishoudensinkomen gecorrigeerd voor grootte en samenstelling van een huishouden. Hiervoor zijn equivalentiefactoren beschikbaar die afgestemd zijn op het aantal volwassenen en kinderen (naar leeftijd) in een huishouden. In de equivalentiefactor komen de schaalvoordelen tot uit drukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Hierbij is de CBS-equivalentieschaal gebruikt, waarbij het eenpersoonshuishouden als standaardhuishouden is gekozen. Het gaat hier om het rekenkundig gemiddeld gestandaardiseerd inkomen per huishouden. 

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;euro;0;Impossible;;;;;;;;;
50;;43;TopicGroup;;Paar, minstens één kind >= 18;"(Echt)paar met minstens één meerderjarig kind zonder anderen.
De indeling van het huishouden hangt af van de relaties van de huishoudensleden ten opzichte van de hoofdkostwinner. Het al dan niet gehuwd samenwonen van de hoofdkostwinner en de aanwezigheid van inwonende kinderen spelen hier een rol. Paren zijn zowel echtparen als personen die samenwonen met een vaste partner.
";;;;;;;;;;;;;;
51;36;50;Topic;Huishoudens_36;Huishoudens;"Aantal huishoudens op 31 december 2013 met inkomen in jaar 2013 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
52;37;50;Topic;GemiddeldGestandaardiseerdInkomen_37;Gemiddeld gestandaardiseerd inkomen;"Gemiddeld gestandaardiseerd inkomen per huishouden in 2013 voor de gemeentelijke indeling van 1-1-2016.

Het gestandaardiseerd inkomen is het besteedbaar inkomen gecorrigeerd voor verschillen in grootte en samenstelling van het huishouden. Om inkomens van huishoudens van verschillende grootte en samenstelling vergelijkbaar te maken, wordt het inkomen gestandaardiseerd. Bij het standaardiseren wordt het besteedbaar huishoudensinkomen gecorrigeerd voor grootte en samenstelling van een huishouden. Hiervoor zijn equivalentiefactoren beschikbaar die afgestemd zijn op het aantal volwassenen en kinderen (naar leeftijd) in een huishouden. In de equivalentiefactor komen de schaalvoordelen tot uit drukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Hierbij is de CBS-equivalentieschaal gebruikt, waarbij het eenpersoonshuishouden als standaardhuishouden is gekozen. Het gaat hier om het rekenkundig gemiddeld gestandaardiseerd inkomen per huishouden. 

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;euro;0;Impossible;;;;;;;;;
53;;43;TopicGroup;;Eenoudergezin, alleen kinderen < 18;"Eenoudergezin met uitsluitend minderjarige kinderen zonder anderen.
De indeling van het huishouden hangt af van de relaties van de huishoudensleden ten opzichte van de hoofdkostwinner. Het al dan niet gehuwd samenwonen van de hoofdkostwinner en de aanwezigheid van inwonende kinderen spelen hier een rol. Een eenoudergezin wordt gevormd door een hoofdkostwinner die niet samenwoont met een vaste partner, maar wel inwonende kinderen heeft.
";;;;;;;;;;;;;;
54;38;53;Topic;Huishoudens_38;Huishoudens;"Aantal huishoudens op 31 december 2013 met inkomen in jaar 2013 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
55;39;53;Topic;GemiddeldGestandaardiseerdInkomen_39;Gemiddeld gestandaardiseerd inkomen;"Gemiddeld gestandaardiseerd inkomen per huishouden in 2013 voor de gemeentelijke indeling van 1-1-2016.

Het gestandaardiseerd inkomen is het besteedbaar inkomen gecorrigeerd voor verschillen in grootte en samenstelling van het huishouden. Om inkomens van huishoudens van verschillende grootte en samenstelling vergelijkbaar te maken, wordt het inkomen gestandaardiseerd. Bij het standaardiseren wordt het besteedbaar huishoudensinkomen gecorrigeerd voor grootte en samenstelling van een huishouden. Hiervoor zijn equivalentiefactoren beschikbaar die afgestemd zijn op het aantal volwassenen en kinderen (naar leeftijd) in een huishouden. In de equivalentiefactor komen de schaalvoordelen tot uit drukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Hierbij is de CBS-equivalentieschaal gebruikt, waarbij het eenpersoonshuishouden als standaardhuishouden is gekozen. Het gaat hier om het rekenkundig gemiddeld gestandaardiseerd inkomen per huishouden. 

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;euro;0;Impossible;;;;;;;;;
56;;43;TopicGroup;;Eenoudergezin, minstens één kind >= 18;"Eenoudergezin met minstens één meerderjarig kind zonder anderen.
De indeling van het huishouden hangt af van de relaties van de huishoudensleden ten opzichte van de hoofdkostwinner. Het al dan niet gehuwd samenwonen van de hoofdkostwinner en de aanwezigheid van inwonende kinderen spelen hier een rol. Een eenoudergezin wordt gevormd door een hoofdkostwinner die niet samenwoont met een vaste partner, maar wel inwonende kinderen heeft.

";;;;;;;;;;;;;;
57;40;56;Topic;Huishoudens_40;Huishoudens;"Aantal huishoudens op 31 december 2013 met inkomen in jaar 2013 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
58;41;56;Topic;GemiddeldGestandaardiseerdInkomen_41;Gemiddeld gestandaardiseerd inkomen;"Gemiddeld gestandaardiseerd inkomen per huishouden in 2013 voor de gemeentelijke indeling van 1-1-2016.

Het gestandaardiseerd inkomen is het besteedbaar inkomen gecorrigeerd voor verschillen in grootte en samenstelling van het huishouden. Om inkomens van huishoudens van verschillende grootte en samenstelling vergelijkbaar te maken, wordt het inkomen gestandaardiseerd. Bij het standaardiseren wordt het besteedbaar huishoudensinkomen gecorrigeerd voor grootte en samenstelling van een huishouden. Hiervoor zijn equivalentiefactoren beschikbaar die afgestemd zijn op het aantal volwassenen en kinderen (naar leeftijd) in een huishouden. In de equivalentiefactor komen de schaalvoordelen tot uit drukking die het gevolg zijn van het voeren van een gemeenschappelijke huishouding. Hierbij is de CBS-equivalentieschaal gebruikt, waarbij het eenpersoonshuishouden als standaardhuishouden is gekozen. Het gaat hier om het rekenkundig gemiddeld gestandaardiseerd inkomen per huishouden. 

De cijfers over particuliere huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over particuliere huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 2013 gaan.";;Long;euro;0;Impossible;;;;;;;;;
59;;;TopicGroup;;WMO;"Wet maatschappelijke ondersteuning zoals ingegaan op 1 januari 2015.
Deze wet stelt gemeenten verantwoordelijk voor het ondersteunen van de zelfredzaamheid en participatie van mensen met een beperking, chronische psychische of psychosociale problemen.
Onder dit onderwerp zijn in deze tabel de gegevens terug te vinden die als grondslag dienen bij het bepalen van de verdeling van het landelijk budget over de gemeenten ten behoeve van de Wmo.
";;;;;;;;;;;;;;
60;;59;TopicGroup;;Inwoners;"Het aantal inwoners op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over het aantal inwoners in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal inwoners. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2014 gaan.";;;;;;;;;;;;;;
61;42;60;Topic;Totaal_42;Totaal;;;Long;aantal;0;Impossible;;;;;;;;;
62;43;60;Topic;InwonersVan65JaarOfOuder_43;Inwoners van 65 jaar of ouder;;;Long;aantal;0;Impossible;;;;;;;;;
63;;59;TopicGroup;;Huishoudens;"Huishoudens worden onderscheiden in particuliere en institutionele huishoudens.
Ze omvatten niet alleen op zichzelf of in gezinsverband wonende personen (particuliere huishoudens), maar ook personen in verpleeginrichtingen, bejaardentehuizen, gevangenissen en internaten (institutionele huishoudens).";;;;;;;;;;;;;;
64;44;63;Topic;Eenpersoonshuishoudens_44;Eenpersoonshuishoudens;"Het aantal particuliere huishoudens bestaande uit één persoon op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over het aantal eenpersoonshuishoudens in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal eenpersoonshuishoudens. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
65;45;63;Topic;HuishoudensMetInkomen_45;Huishoudens met inkomen;"Het totaal aantal huishoudens op 31 december 2013 met inkomen in 2013 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over het aantal huishoudens met inkomen in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal huishoudens met inkomen. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2013 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
66;46;63;Topic;LageInkomens2e3eOf4eDeciel_46;Lage inkomens 2e, 3e, of 4e deciel;"Het aantal huishoudens op 31 december 2013 met inkomen in 2013 in het 2e, 3e, of 4e deciel van de landelijke inkomensverdeling voor de gemeentelijke indeling van 1-1-2016.

Huishoudens zijn in tien inkomensklasse verdeeld. De klassengrenzen van de verdeling zijn als volgt bepaald. De huishoudens van geheel Nederland worden gerangschikt naar hoogte van besteedbaar inkomen van het voorafgaande jaar. Daarna worden de eenheden in tien, qua aantal gelijke groepen (decielgroepen) verdeeld en wordt het hoogste inkomen in elke groep bepaald. Deze inkomens vormen de klassengrenzen (decielen). De huishoudens in het 2e, 3e en 4e deciel vormen in dit geval de groep 'relatief lage inkomens'.
De populatie omvat alle huishoudens inclusief studentenhuishoudens en institutionele huishoudens; huishoudens zonder (waargenomen) belastbaar inkomen zijn buiten beschouwing gelaten.
Een particulier huishouden bestaat uit een of meer personen die alleen of samen in een woonruimte gehuisvest zijn en zelf in hun dagelijkse levensbehoeften voorzien.
Een institutioneel huishouden is gedefinieerd als een uit een of meer leden bestaande verzameling van personen, woonachtig in een tot bewoning bestemd gebouw of in een andere bewoonde ruimte, die daar door derden wordt voorzien van huisvesting en van dagelijkse levensbehoeften.
Huishoudens waarvan alle huishoudensleden een WSF-uitkering (Wet Studie Financiering) ontvangen behoren tot de groep studentenhuishoudens; werkstudenten behoren ook tot deze categorie.
Het 'besteedbaar inkomen' is het bruto-inkomen verminderd met de premies sociale zekerheid en andere betaalde overdrachten (o.a. alimentatie voor ex-partner) en de loon-, inkomsten- en vermogensbelasting.
Het bruto-inkomen omvat winst uit onderneming, bruto-inkomsten uit arbeid, inkomsten uit vermogen en bruto ontvangen overdrachten (zoals RWW, AOW, WAZ, WAJONG en WAO).

De cijfers over het aantal huishoudens met inkomens in het 2e, 3e, of 4e deciel in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal huishoudens met inkomens in het 2e, 3e, of 4e deciel. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Wmo over 31 december 2013 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
